pID,ChainID,ChainPosition,SocialContext,SocialContext.N,Event,EventPosition,Valence,Valence.N,Present,AmbResult,AmbResult.N,Age,Gender
1,94,1,Reproduction Intent,1,Amb1,,Ambiguous,2,0,Lost,0,20,F
2,101,4,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
3,127,3,Communication Intent,0,Amb1,,Ambiguous,2,0,Lost,0,24,M
4,392,3,Social Interaction,1,Amb1,,Ambiguous,2,0,Lost,0,20,F
5,66,3,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
5,66,1,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
5,66,4,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
5,66,2,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
7,122,3,Social Interaction,1,Amb1,,Ambiguous,2,0,Lost,0,21,F
8,94,4,Reproduction Intent,1,Amb1,,Ambiguous,2,0,Lost,0,20,F
10,279,4,Communication Intent,0,Amb1,,Ambiguous,2,0,Lost,0,37,F
11,240,3,Social Interaction,1,Amb1,,Ambiguous,2,0,Lost,0,39,F
12,183,1,Communication Intent,0,Amb1,,Ambiguous,2,0,Lost,0,19,F
13,128,4,Reproduction Intent,1,Amb1,,Ambiguous,2,0,Lost,0,22,M
15,95,2,Reproduction Intent,1,Amb1,,Ambiguous,2,0,Lost,0,20,F
20,104,2,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
20,104,4,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
20,104,3,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
20,104,1,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,F
22,400,2,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,M
22,400,1,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,M
22,400,4,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,M
22,400,3,Repeated Reproduction,0,Amb1,,Ambiguous,2,0,Lost,0,20,M
23,333,2,Reproduction Intent,1,Amb1,,Ambiguous,2,0,Lost,0,22,M
